Section,Question,Options,Answer
Choose the Correct Answer,The girth of a tree can be measured by,"(a) Metre scale, (b) Metre rod, (c) plastic ruler, (d) Measuring tape",(d) Measuring tape
Choose the Correct Answer,The conversion of 7 m into cm gives,"(a) 70 cm, (b) 7 cm, (c) 700 cm, (d) 7000 cm",(c) 700 cm
Choose the Correct Answer,Quantity that can be measured is called,"(a) Physical quantity, (b) Measurement, (c) Unit, (d) Motion",(b) Measurement
Choose the Correct Answer,Choose the correct one,"(a) km > mm > cm > m, (b) km > mm > m > cm, (c) km > m > cm > mm, (d) km > cm > m > mm",(c) km > m > cm > mm
Choose the Correct Answer,While measuring length of an object using a ruler the position of your eye should be,"(a) Left side of the point, (b) Vertically above the point where the measurement is to be taken, (c) Right side of the point, (d) Anywhere according to one's convenience",(b) Vertically above the point where the measurement is to be taken
True or False,We can say that mass an object is 126 kg,,True
True or False,Length of one's chest can be measured by using metre scale,,False
True or False,Ten millimetres makes one centimetre,,True
True or False,A hand span is a reliable measure of length,,False
True or False,The SI system of units is accepted everywhere in the world,,True
Fill in the Blanks,SI unit of length is symbolically represented as,,metre
Fill in the Blanks,500 gm = _____ kilogram,,0.5
Fill in the Blanks,Distance between Delhi and Chennai can be measured in,,Kilometre
Fill in the Blanks,1 m = _____ cm,,100
Fill in the Blanks,5 km = _____ m,,5000
Answer Briefly,Define measurement,,The comparison of an unknown quantity with some known quantity is known as measurement
Answer Briefly,Define mass,,Mass is the measure of the amount of matter in an object
Answer Briefly,The distance between the two places is 43.65 km. convert it into meter and cm,,"(a) Convert km into metre: 1 km = 1000m, Therefore 43.65 km = 43.65 × 1000 = 43650.00 = 43650 m. (b) Convert km into cm: 1 km = 100000 cm, Therefore 43.65 km = 43.65 × 100000 = 4365000 cm"
Answer Briefly,What are the rules to be followed to make an accurate measurement with scale?,,1. Take care to write the correct submultiple. 2. Always keep the object in parallel to the scale. 3. Start the measurement from '0' of the scale
Additional Questions,What is 7 m in mm?,"(a) 0.7 mm, (b) 700 mm, (c) 7000 mm, (d) 70 mm",(c) 7000 mm
Additional Questions,The distance between one end and the other end is called,"(a) mass, (b) length, (c) time, (d) None",(b) length
Additional Questions,What is the unit of length?,"(a) metre, (b) litre, (c) second, (d) kilogram",(a) metre
Additional Questions,Five kilometre is equal to,"(a) 500 cm, (b) 500 m, (c) 5000 m, (d) 5000 cm",(c) 5000 m
Additional Questions,These are the instruments used in measuring the volume of objects with irregular shapes,"(a) Balance, (b) Electronic balance, (c) Displacement of water method, (d) sand clock",(c) Displacement of water method